1392685764;Tokyo;Japan;Токио;Япония;35.6897;139.6922
1360771077;Jakarta;Indonesia;Джакарта;Индонезия;-6.2146;106.8451
1356872604;Delhi;India;Дели;Индия;28.66;77.23
1356226629;Mumbai;India;Мумбаи;Индия;18.9667;72.8333
1608618140;Manila;Philippines;Манила;Филиппины;14.6;120.9833
1156073548;Shanghai;China;Шанхай;Китай;31.1667;121.4667
1076532519;Sao Paulo;Brazil;Сан-Паулу;Бразилия;-23.5504;-46.6339
1410836482;Seoul;South Korea;Сеул;Южная Корея;37.56;126.99
1484247881;mexico city;Mexico;Мехико;Мексика;19.4333;-99.1333
1156237133;Guangzhou;China;Гуанчжоу;Китай;23.1288;113.259
1156228865;Beijing;China;Пекин;Китай;39.905;116.3914
1818253931;Cairo;Egypt;Каир;Египет;30.0561;31.2394
1840034016;New York;USA;Нью-Йорк;США;40.6943;-73.9249
1356060520;Calcutta;India;Калькутта;Индия;22.5411;88.3378
1643318494;Moscow;Russia;Москва;Россия;55.7558;37.6178
1764068610;Bangkok;Thailand;Бангкок;Таиланд;13.75;100.5167
1032717330;Buenos Aires;Argentina;Буэнос-Айрес;Аргентина;-34.5997;-58.3819
1156158707;Shenzhen;China;Шэньчжэнь;Китай;22.535;114.054
1050529279;Dhaka;Bangladesh;Дакка;Бангладеш;23.7289;90.3944
1566593751;Lagos;Nigeria;Лагос;Нигерия;6.45;3.4
1792756324;Istanbul;Turkey;Стамбул;Турция;41.01;28.9603
1392419823;Osaka;Japan;Осака;Япония;34.75;135.4601
1586129469;Karachi;Pakistan;Карачи;Пакистан;24.86;67.01
1356410365;Bangalore;India;Бангалор;Индия;12.9699;77.598
1364305026;Tehran;Iran;Тегеран;Иран;35.7;51.4167
1180000363;Kinshasa;Congo (Kinshasa);Киншаса;Конго (Киншаса);-4.3233;15.3081
1704774326;Ho Chi Minh City;Vietnam;Хошимин;Вьетнам;10.8167;106.6333
1840020491;Los Angeles;USA;Лос-Анджелес;США;34.1139;-118.4068
1076887657;Rio de Janeiro;Brazil;Рио-де-Жанейро;Бразилия;-22.9083;-43.1964
1156192287;Nanyang;China;Наньян;Китай;32.9987;112.5292
1156256829;Baoding;China;Баодин;Китай;38.8671;115.4845
1356374944;chennai;India;Ченнаи;Индия;13.0825;80.275
1156421555;Chengdu;China;Чэнду;Китай;30.66;104.0633
1586801463;Lahore;Pakistan;Лахор;Пакистан;31.5497;74.3436
1250015082;Paris;France;Париж;Франция;48.8566;2.3522
1826645935;London;Great Britain;Лондон;Великобритания;51.5072;-0.1275
1156086320;Linyi;China;Линьи;Китай;35.0606;118.3425
1156174046;Tianjin;China;Тяньцзинь;Китай;39.1467;117.2056
1156217541;Shijiazhuang;China;Шицзячжуан;Китай;38.0422;114.5086
1156272098;Zhoukou;China;Чжоукоу;Китай;33.625;114.6418
